service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
901_merged_304471,20231106,20240330,0,0,0,0,0,0,0
1_merged_304459,20231001,20231105,1,1,1,1,1,0,0
3_merged_304463,20231001,20231105,0,0,0,0,0,0,1
1001_merged_304468,20231001,20231105,0,0,0,0,0,0,0
201_merged_304469,20231106,20240330,0,0,0,0,0,0,0
1_merged_304470,20231106,20240330,1,1,1,1,1,0,0
101_merged_304478,20231106,20240330,0,0,0,0,0,0,0
401_merged_304465,20231001,20231105,0,0,0,0,0,0,0
2_merged_304475,20231106,20240330,0,0,0,0,0,1,0
301_merged_304472,20231106,20240330,0,0,0,0,0,0,0
5602_merged_304477,20231106,20240330,0,0,0,0,0,0,0
5201_merged_304473,20231106,20240330,0,0,0,0,0,0,0
5801,20231106,20240330,0,0,0,0,0,0,0
901_merged_304460,20231001,20231105,0,0,0,0,0,0,0
3_merged_304474,20231106,20240330,0,0,0,0,0,0,1
5202,20231106,20240330,0,0,0,0,0,0,0
2_merged_304464,20231001,20231105,0,0,0,0,0,1,0
201_merged_304458,20231001,20231105,0,0,0,0,0,0,0
1001_merged_304479,20231106,20240330,0,0,0,0,0,0,0
5602_merged_304466,20231001,20231105,0,0,0,0,0,0,0
401_merged_304476,20231106,20240330,0,0,0,0,0,0,0
301_merged_304461,20231001,20231105,0,0,0,0,0,0,0
101_merged_304467,20231001,20231105,0,0,0,0,0,0,0
5201_merged_304462,20231001,20231105,0,0,0,0,0,0,0
