stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
36.187775,,DOMMETEN,-86.798861,,,,,DOMINICAN DR & METRO CENTER BLVD EB,0,DOMMETEN,
36.150546,0,12ADIVSF,-86.784502,,,,761 12TH AVE & I 40,12TH AVE S & DIVISION ST SB,0,12ADIVSF,
36.136868,,WED17AEN,-86.795931,,,,WEDGEWOOD & 17 AVE,WEDGEWOOD AVE & 17TH AVE S EB,0,WED17AEN,
36.108232,,POWPOWNM,-86.765569,,,,,POWELL AVE & POWELL PL NB,0,POWPOWNM,
36.171733,0,WOO5SEN,-86.764915,,,,485 WOODLAND ST & 5TH ST S,WOODLAND ST & S 5TH ST EB,0,WOO5SEN,
36.192437,,COUDOAWM,-86.834602,,,,,COUNTY HOSPITAL RD & DOAK AVE WB,0,COUDOAWM,
36.19142,0,COUDOAWN,-86.83582,,,,,COUNTY HOSPITAL RD & DOAK AVE WB,0,COUDOAWN,
36.11292,0,MURKNIEN,-86.689366,,,,MURFREESBORO & MCGAVOCK,MURFREESBORO PIKE & KNIGHT VALLEY D,0,MURKNIEN,
36.257412,1,GXIMADLB,-86.714068,,,,,MADISON STATION INBOUND,0,GXIMADLB,
36.177012,0,16SWOOSN,-86.741988,,,,N 16TH ST & PORTER RD,16TH ST & WOODLAND ST SB,0,16SWOOSN,
36.088298,1,MXINASHB,-86.64938,,,,2262 MURFREESBORO PIKE,NASHBORO STATION INBOUND,0,MXINASHB,
36.182274,,23ASEINF,-86.814331,,,,23RD AV N & SEIFRIED ST,23RD AVE N & SEIFRIED ST NB,0,23ASEINF,
35.861601,,AGEXPO,-86.826882,,,,4205 LONG LN,WILLIAMSON CO AG EXPO,0,AGEXPO,
36.148364,,ROYPEREM,-86.674225,,,,ROYAL PKWY & RACHEL PKWY,ROYAL PKWY & PERIMETER PL EB,0,ROYPEREM,
36.196843,0,DICLUCNF,-86.771548,,,,DICKERSON PK & LUCILE ST,DICKERSON PIKE & LUCILE ST NB,0,DICLUCNF,
36.163373,0,LEBEASWN,-86.699707,,,,,LEBANON PIKE & EASTHAVEN TOWNHOMES,0,LEBEASWN,
36.189506,,LEBBONWM,-86.627722,,,,LEBANON & HICKORY HILL,LEBANON PIKE & BONNABROOK DR SB,0,LEBBONWM,
36.321196,,JOEL,-86.867084,,,,,JOELTON FAMILY DOLLAR P & R,0,JOEL,
36.116201,,BRAWIRSF,-86.766448,,,,BRANSFORD AVE & E IRIS DR,BRANSFORD AVE & WEST IRIS DR SB,0,BRAWIRSF,
36.20057,0,GALBURNN,-86.740034,,,,,GALLATIN PK & BURCHWOOD AV,0,GALBURNN,
36.159941,,9ACOMSN,-86.783744,,,,,9TH AVE N & COMMERCE ST SB,0,9ACOMSN,
36.189279,,LISEVASN,-86.764073,,,,,LISCHEY AVE & EVANSTON AVE SB,0,LISEVASN,
36.16805,0,LEBOLDWN,-86.664379,,,,2752 LEBANON PIKE & OLD LEBANON PIKE,LEBANON PIKE & OLD LEBANON RD WB,0,LEBOLDWN,
36.078277,0,MURMARNN,-86.642784,,,,2513 MURFREESBORO PIKE & MARTWAY DR,MURFREESBORO PIKE & MARTWAY DR NB,0,MURMARNN,
36.176552,,23AOSANN,-86.813598,,,,23RD AV N & OSAGE,23RD AVE N & OSAGE ST,0,23AOSANN,
36.14472,,ELMMASEN,-86.711248,,,,ELM HILL PK & MASSMAN DR,ELMHILL PK & MASSMAN DR EB,0,ELMMASEN,
36.157514,0,HERPEAEN,-86.770794,,,,,HERMITAGE AVE & PEABODY ST EB,0,HERPEAEN,
36.171135,0,JEF12AEN,-86.79961,,,,JEFFERSON & 12 AVE,JEFFERSON ST & 12TH AVE N EB,0,JEF12AEN,
36.127614,0,12ALINNN,-86.789082,,,,12TH AV S & LINDEN AV,12TH AVE S & LINDEN AVE NB,0,12ALINNN,
36.110077,,THOWINWF,-86.73481,,,,,THOMPSON LN & WINGATE AVE WB,0,THOWINWF,
36.188328,0,PORGRESF,-86.729427,,,,,PORTER RD & GREENWOOD AVE SB,0,PORGRESF,
36.125078,,FRAINVNF,-86.776593,,,,US HWY 31 & FRANKLIN PIKE,FRANKLIN PIKE & INVERNESS AVE NB,0,FRAINVNF,
36.168638,0,JEFI40EF,-86.812601,,,,2332 JEFFERSON ST,JEFFERSON ST & I-40 EB,0,JEFI40EF,
36.184445,,18ACASNN,-86.812277,,,,,18TH AVE N & CASS ST NB,0,18ACASNN,
36.210728,0,JONFLANN,-86.755202,,,,FLAMINGO & SLAYDEN,JONES AVE  & FLAMINGO DR NB,0,JONFLANN,
36.168009,,JEFI40EN,-86.817577,,,,JEFFERSON & I40 W,JEFFERSON ST & I-40 EB,0,JEFI40EN,
36.219861,0,TUCKINNN,-86.826493,,,,,TUCKER RD & KINGS LN NB,0,TUCKINNN,
36.163749,,39AALASN,-86.833864,,,,,39TH AVE N & ALAMEDA ST SB,0,39AALASN,
36.19301,,LEBJUASN,-86.62348,,,,LEBANON PK & JUAREZ DR,LEBANON PIKE & JUAREZ DR NB,0,LEBJUASN,
36.233801,0,DICMAPNF,-86.758443,,,,,DICKERSON PIKE & MAPLEWOOD TRACE NB,0,DICMAPNF,
36.12221,0,FRAHORNN,-86.775663,,,,FRANKLIN PK & HORNER AV,FRANKLIN PIKE & HORNER AVE NB,0,FRAHORNN,
36.077563,0,H70FORWN,-86.91219,,,,6955 USHY 70S,HWY 70 & FOREST PARK APARTMENTS WB,0,H70FORWN,
36.101951,0,HARHAREN,-86.870292,,,,HARDING RD & HARDING PLACE,HARDING PIKE & HARDING PL EB,0,HARHAREN,
36.155586,,51AGEONF,-86.848664,,,,,51ST AVE N & GEORGIA AVE NB,0,51AGEONF,
36.199854,1,BUEKIRNF,-86.82531,,,,,BUENA VISTA PK & KIRK AVE NB,0,BUEKIRNF,
36.094437,0,MURFRANN,-86.653178,,,,MURFREESBORO & OLD MURFREESBORO,MURFREESBORO PIKE & FRANKLIN LIMEST,0,MURFRANN,
36.236505,,RICEWIEN,-86.789132,,,,,W RICHMOND HILL DR & EWINGDALE DR E,0,RICEWIEN,
36.129506,0,WBBTSN,-86.854763,,,,,WHITE BRIDGE PIKE & BROOKWOOD TERRA,0,WBBTSN,
36.198447,,DICMARNM,-86.770684,,,,DICKERSON PK & FERN AV,DICKERSON PIKE & MARIE MB,0,DICMARNM,
36.101328,0,SHABELEN,-86.80261,,,,1602 SHACKLEFORD RD & BELMONT BLVD,SHACKLEFORD RD & BELMONT BLVD EB,0,SHABELEN,
36.107739,0,MURDELEN,-86.677328,,,,MURFREESBORO & DELL PARKWAY,MURFREESBORO PIKE & DELL PKWY EB,0,MURDELEN,
36.226366,,BOYAMENN,-86.826861,,,,BOYD DRIVE & AMES DRIVE,BOYD DR & AMES DR NB,0,BOYAMENN,
36.149462,0,CHALAFSN,-86.762447,,,,,CHARLES E DAVIS BLVD & LAFAYETTE ST SB,0,CHALAFSN,
36.102724,0,MURTOWEF,-86.665866,,,,1708 MURFREESBORO PIKE & TOWN PARK DR,MURFREESBORO PIKE & TOWN PARK DR EB,0,MURTOWEF,
36.241059,,CHENEENF,-86.67336,,,,,CHEYENNE BLVD & NEELY'S BEND RD NB,0,CHENEENF,
36.273885,0,GALANDNF,-86.709877,,,,N GALLATIN PK,N GALLATIN PIKE & ANDERSON LN NB,0,GALANDNF,
36.109606,,THOSELEN,-86.732269,,,,,THOMPSON LN & SELENA DR EB,0,THOSELEN,
36.166215,,UNI2AWN,-86.777565,,,,UNION ST N & SKYVIEW DR,UNION ST & 2ND AVE WB,0,UNI2AWN,
36.157159,,CLI40_WN,-86.834129,,,,,CLIFTON AVE & 40TH AVE N WB,0,CLI40_WN,
36.189381,0,COUHYDWF,-86.837988,,,,1691 COUNTY HOSPITAL RD,COUNTY HOSPITAL RD & HYDES FERRY RD,0,COUHYDWF,
36.24323,,CHERAISN,-86.767688,,,,CHESAPEAKE DR & RAIN WOOD,CHESAPEAKE DR & RAINWOOD DR SB,0,CHERAISN,
36.131395,,ARTS,-86.7404,,,,ARTS SCHOOL RD & 2ND AVE S,ARTS MAGNET SCHOOL,0,ARTS,
36.259517,0,DICBELSS,-86.757895,,,,DICKERSON PK & BELLSHIRE DR,DICKERSON PIKE & BELLSHIRE DR SB,0,DICBELSS,
36.261602,0,GALMAPNF,-86.7123,,,,169 GALLATIN PIKE S & MAPLE ST,GALLATIN PIKE & MAPLE ST NB,0,GALMAPNF,
36.121215,1,MXIGLENG,-86.703814,,,,,GLENGARRY STATION INBOUND,0,MXIGLENG,
36.183683,,MERHANNN,-86.768456,,,,,MERIDIAN ST & HANCOCK ST NB,0,MERHANNN,
36.203677,0,BAPMEANM,-86.789335,,,,BAPTIST WORLD DR & ROGER AVE,BAPTIST WORLD CENTER DR & MEADE AVE NB,0,BAPMEANM,
36.161028,,TEN50AWN,-86.847693,,,,,TENNESSEE AVE & 50TH AVE WB,0,TEN50AWN,
36.206806,,TRIHAWM,-86.779633,,,,W TRINITY LN & HAMPTON ST,TRINITY LN & HAMPTON ST WB,0,TRIHAWM,
36.244805,,CHEWOOSN,-86.767814,,,,CHESAPEAKE DR & WOOD TRAIL,CHESAPEAKE DR & WOOD TRL SB,0,CHEWOOSN,
36.143158,,MURFESWF,-86.745103,,,,,MURFREESBORO PIKE & FESSLERS LN WB,0,MURFESWF,
36.268491,,DICBELSN,-86.756147,,,,,DICKERSON PK & BELL GRIMES LN,0,DICBELSN,
